"","UNIT_CODE","County","Year","Month","Monthly_Med"
"152","OLYM","53031",2013,12,36
"153","OLYM","53031",2014,1,39
"154","OLYM","53031",2014,2,21
"155","OLYM","53031",2014,3,18
"156","OLYM","53031",2014,4,17
"157","OLYM","53031",2014,5,17
"158","OLYM","53031",2014,6,18
"159","OLYM","53031",2014,7,18
"160","OLYM","53031",2014,8,23
"161","OLYM","53031",2014,9,22
"162","OLYM","53031",2014,10,20
"163","OLYM","53031",2014,11,24.5
"164","OLYM","53031",2014,12,23
"165","OLYM","53031",2015,1,30
"166","OLYM","53031",2015,2,18
"167","OLYM","53031",2015,3,18.5
"168","OLYM","53031",2015,4,18
"169","OLYM","53031",2015,5,20
"170","OLYM","53031",2015,6,17.5
"171","OLYM","53031",2015,7,19
"172","OLYM","53031",2015,8,20
"173","OLYM","53031",2015,9,16
"174","OLYM","53031",2015,10,30.5
"175","OLYM","53031",2015,11,29
"176","OLYM","53031",2015,12,18
"177","OLYM","53031",2016,1,22
"178","OLYM","53031",2016,2,20
"179","OLYM","53031",2016,3,15
"180","OLYM","53031",2016,4,19
"181","OLYM","53031",2016,5,19
"182","OLYM","53031",2016,6,16
"183","OLYM","53031",2016,7,15
"184","OLYM","53031",2016,8,21.5
"185","OLYM","53031",2016,9,18
"186","OLYM","53031",2016,10,18
"187","OLYM","53031",2016,11,19
"188","OLYM","53031",2016,12,21
"189","OLYM","53031",2017,1,24
"190","OLYM","53031",2017,2,18
"191","OLYM","53031",2017,3,15
"192","OLYM","53031",2017,4,15
"193","OLYM","53031",2017,5,17
"194","OLYM","53031",2017,6,16.5
"195","OLYM","53031",2017,7,16
"196","OLYM","53031",2017,8,21
"197","OLYM","53031",2017,9,19.5
"198","OLYM","53031",2017,10,23
"199","OLYM","53031",2017,11,20.5
"200","OLYM","53031",2017,12,28
"201","OLYM","53031",2018,1,16
"202","OLYM","53031",2018,2,19
"203","OLYM","53031",2018,3,21
"204","OLYM","53031",2018,4,16.5
"205","OLYM","53031",2018,5,17
"206","OLYM","53031",2018,6,15
"207","OLYM","53031",2018,7,18
"208","OLYM","53031",2018,8,28
"209","OLYM","53031",2018,9,19.5
"210","OLYM","53031",2018,10,25
"211","OLYM","53031",2018,11,26
"212","OLYM","53031",2018,12,18
"213","OLYM","53031",2019,1,21
"214","OLYM","53031",2019,2,20
"215","OLYM","53031",2019,3,23
