"","X1","UnitCode","Year","Month","ParkName","RecreationVisits","Smoke","stdsmoke","Season","CatColS","CatColM"
"42",411,"ACAD",2014,"03","Acadia NP",17502,1.03074604407283e-09,-0.159962502859517,"Spring","ACADSpring","ACAD03"
"43",421,"ACAD",2015,"01","Acadia NP",12578,5.16708509312735e-10,-0.308308275137151,"Winter","ACADWinter","ACAD01"
"44",431,"ACAD",2015,"11","Acadia NP",48912,3.81954190498135e-10,-0.34719694014802,"Fall","ACADFall","ACAD11"
"45",441,"ACAD",2016,"09","Acadia NP",570434,2.06592271068118e-10,-0.397804527350917,"Fall","ACADFall","ACAD09"
"46",451,"ACAD",2017,"07","Acadia NP",743529,4.72199834788967e-10,-0.321153005820803,"Summer","ACADSummer","ACAD07"
"47",461,"ACAD",2018,"05","Acadia NP",249050,1.59505297858686e-09,0.00289048421112054,"Spring","ACADSpring","ACAD05"
"48",471,"ARCH",1980,"03","Arches NP",15915,1.08303843671109e-09,-0.144871473808908,"Spring","ARCHSpring","ARCH03"
"49",481,"ARCH",1981,"01","Arches NP",7144,4.62191368511e-10,-0.324041342875825,"Winter","ARCHWinter","ARCH01"
"50",491,"ARCH",1981,"11","Arches NP",10157,7.06088465474153e-10,-0.253655231437177,"Fall","ARCHFall","ARCH11"
"51",501,"ARCH",1982,"09","Arches NP",36934,1.30725874569748e-09,-0.0801638743678682,"Fall","ARCHFall","ARCH09"
"52",511,"ARCH",1983,"07","Arches NP",50659,1.90399407351549e-09,0.092047602546603,"Summer","ARCHSummer","ARCH07"
"53",521,"ARCH",1984,"05","Arches NP",44454,2.40520248162568e-09,0.236691025147737,"Spring","ARCHSpring","ARCH05"
"54",531,"ARCH",1985,"03","Arches NP",18033,2.36544650533688e-09,0.225217872690172,"Spring","ARCHSpring","ARCH03"
"55",541,"ARCH",1986,"01","Arches NP",7070,5.44768896659775e-10,-0.300210345414277,"Winter","ARCHWinter","ARCH01"
"56",551,"ARCH",1986,"11","Arches NP",8425,9.0023027921049e-10,-0.197627966222899,"Fall","ARCHFall","ARCH11"
"57",561,"ARCH",1987,"09","Arches NP",60969,1.32894040216769e-09,-0.0739067786193393,"Fall","ARCHFall","ARCH09"
"58",571,"ARCH",1988,"07","Arches NP",77160,1.84004522729708e-09,0.073592644810956,"Summer","ARCHSummer","ARCH07"
"59",581,"ARCH",1989,"05","Arches NP",75599,3.91172516600591e-09,0.67145746914382,"Spring","ARCHSpring","ARCH05"
"60",591,"ARCH",1990,"03","Arches NP",42372,1.65633429194401e-09,0.020575620298307,"Spring","ARCHSpring","ARCH03"
"61",601,"ARCH",1991,"01","Arches NP",6307,4.97791641240752e-10,-0.313767482322326,"Winter","ARCHWinter","ARCH01"
"62",611,"ARCH",1991,"11","Arches NP",14808,5.50794965192836e-10,-0.298471286046264,"Fall","ARCHFall","ARCH11"
"63",621,"ARCH",1992,"09","Arches NP",104561,9.85426518163024e-10,-0.173041236640084,"Fall","ARCHFall","ARCH09"
"64",631,"ARCH",1993,"07","Arches NP",116886,1.98586325161898e-09,0.115674177709379,"Summer","ARCHSummer","ARCH07"
"65",641,"ARCH",1994,"05","Arches NP",103871,2.78004508302843e-09,0.344866618226947,"Spring","ARCHSpring","ARCH05"
"66",651,"ARCH",1995,"03","Arches NP",52952,1.12695774934224e-09,-0.132196826707094,"Spring","ARCHSpring","ARCH03"
"67",661,"ARCH",1996,"01","Arches NP",8183,7.26166071718382e-10,-0.247861047545185,"Winter","ARCHWinter","ARCH01"
"68",671,"ARCH",1996,"11","Arches NP",19972,9.11322739494125e-10,-0.194426800012337,"Fall","ARCHFall","ARCH11"
"69",681,"ARCH",1997,"09","Arches NP",119450,1.04033037739981e-09,-0.157196566068888,"Fall","ARCHFall","ARCH09"
"70",691,"ARCH",1998,"07","Arches NP",113040,1.35123479072519e-09,-0.0674728548990345,"Summer","ARCHSummer","ARCH07"
"71",701,"ARCH",1999,"05","Arches NP",120213,3.31526850416708e-09,0.49932641227087,"Spring","ARCHSpring","ARCH05"
"72",711,"ARCH",2000,"03","Arches NP",52392,2.76220579742414e-09,0.339718389895557,"Spring","ARCHSpring","ARCH03"
"73",721,"ARCH",2001,"01","Arches NP",10566,1.30104105267037e-09,-0.0819582345293734,"Winter","ARCHWinter","ARCH01"
"74",731,"ARCH",2001,"11","Arches NP",26363,1.00955666049174e-09,-0.166077533881309,"Fall","ARCHFall","ARCH11"
"75",741,"ARCH",2002,"09","Arches NP",98581,1.67161640085567e-09,0.024985874599268,"Fall","ARCHFall","ARCH09"
"76",751,"ARCH",2003,"07","Arches NP",95296,2.31768049197001e-09,0.211433108616788,"Summer","ARCHSummer","ARCH07"
"77",761,"ARCH",2004,"05","Arches NP",113248,4.29439550586608e-09,0.781892064393358,"Spring","ARCHSpring","ARCH05"
"78",771,"ARCH",2005,"03","Arches NP",62843,2.81033618598769e-09,0.353608308780206,"Spring","ARCHSpring","ARCH03"
"79",781,"ARCH",2006,"01","Arches NP",12841,1.3008124577496e-09,-0.0820242045953069,"Winter","ARCHWinter","ARCH01"
"80",791,"ARCH",2006,"11","Arches NP",28087,1.57563306846242e-09,-0.0027138955669375,"Fall","ARCHFall","ARCH11"
"81",801,"ARCH",2007,"09","Arches NP",120301,1.50400081277979e-09,-0.0233862036585793,"Fall","ARCHFall","ARCH09"
"82",811,"ARCH",2008,"07","Arches NP",121038,2.49160603260634e-09,0.261626172157455,"Summer","ARCHSummer","ARCH07"
"83",821,"ARCH",2009,"05","Arches NP",139332,2.75185541021017e-09,0.336731378090387,"Spring","ARCHSpring","ARCH05"
"84",831,"ARCH",2010,"03","Arches NP",57623,2.77819034444349e-09,0.344331360372899,"Spring","ARCHSpring","ARCH03"
"85",841,"ARCH",2011,"01","Arches NP",10182,1.67476321699667e-09,0.025894012311177,"Winter","ARCHWinter","ARCH01"
"86",851,"ARCH",2011,"11","Arches NP",30863,3.30421179306484e-09,0.49613556289432,"Fall","ARCHFall","ARCH11"
"87",861,"ARCH",2012,"09","Arches NP",139801,1.11451348150382e-09,-0.135788110218679,"Fall","ARCHFall","ARCH09"
"88",871,"ARCH",2013,"07","Arches NP",156182,1.53825430171395e-09,-0.0135010106025647,"Summer","ARCHSummer","ARCH07"
