"","UnitCode","Year","Month","ParkName","RecreationVisits","Smoke","stdsmoke","Season","CatColS","CatColM","SeasType","Region","State"
"43","ACAD","1983","07","Acadia NP",916474,2.98565505651993e-10,-0.742524057632177,"Summer","ACADSummer","ACAD07","High","Northeast","ME"
"44","ACAD","1983","08","Acadia NP",715624,2.34358338291329e-10,-0.779583070578857,"Summer","ACADSummer","ACAD08","High","Northeast","ME"
"45","ACAD","1983","09","Acadia NP",668981,2.46354520117009e-10,-0.772659129282843,"Fall","ACADFall","ACAD09","Shoulder","Northeast","ME"
"46","ACAD","1983","10","Acadia NP",529524,2.93043006527327e-10,-0.745711526803795,"Fall","ACADFall","ACAD10","Shoulder","Northeast","ME"
"47","ACAD","1983","11","Acadia NP",262444,2.87157575495911e-10,-0.749108472561655,"Fall","ACADFall","ACAD11","Shoulder","Northeast","ME"
"48","ACAD","1983","12","Acadia NP",27228,2.82122047945421e-10,-0.752014872086162,"Winter","ACADWinter","ACAD12","Low","Northeast","ME"
"49","ACAD","1984","01","Acadia NP",24273,3.13280235086921e-10,-0.734031028410489,"Winter","ACADWinter","ACAD01","Low","Northeast","ME"
"50","ACAD","1984","02","Acadia NP",26185,2.4406854315373e-10,-0.773978546621441,"Winter","ACADWinter","ACAD02","Low","Northeast","ME"
"51","ACAD","1984","03","Acadia NP",37289,3.73774095008272e-10,-0.699115257630147,"Spring","ACADSpring","ACAD03","Shoulder","Northeast","ME"
"52","ACAD","1984","04","Acadia NP",229638,7.34410920966155e-10,-0.490963343262862,"Spring","ACADSpring","ACAD04","Shoulder","Northeast","ME"
"53","ACAD","1984","05","Acadia NP",271964,8.85852946552745e-10,-0.403554223415547,"Spring","ACADSpring","ACAD05","Shoulder","Northeast","ME"
"54","ACAD","1984","06","Acadia NP",458908,4.87155316086785e-10,-0.63367402555933,"Summer","ACADSummer","ACAD06","High","Northeast","ME"
"55","ACAD","1984","07","Acadia NP",790392,4.66505167828757e-10,-0.645592852430268,"Summer","ACADSummer","ACAD07","High","Northeast","ME"
"56","ACAD","1984","08","Acadia NP",865843,3.36701000414052e-10,-0.720513060227843,"Summer","ACADSummer","ACAD08","High","Northeast","ME"
"57","ACAD","1984","09","Acadia NP",443622,2.93577773202713e-10,-0.745402870839652,"Fall","ACADFall","ACAD09","Shoulder","Northeast","ME"
"58","ACAD","1984","10","Acadia NP",361873,3.62388091756927e-10,-0.705687016816039,"Fall","ACADFall","ACAD10","Shoulder","Northeast","ME"
"59","ACAD","1984","11","Acadia NP",194735,4.42483438778396e-10,-0.659457684106745,"Fall","ACADFall","ACAD11","Shoulder","Northeast","ME"
"60","ACAD","1984","12","Acadia NP",30041,4.45272069216074e-10,-0.657848145861382,"Winter","ACADWinter","ACAD12","Low","Northeast","ME"
"61","ACAD","1985","01","Acadia NP",31360,3.0338606626934e-10,-0.739741732454599,"Winter","ACADWinter","ACAD01","Low","Northeast","ME"
"62","ACAD","1985","02","Acadia NP",23261,3.74450775941781e-10,-0.698724691771124,"Winter","ACADWinter","ACAD02","Low","Northeast","ME"
"63","ACAD","1985","03","Acadia NP",46315,8.93051688155566e-10,-0.399399262696594,"Spring","ACADSpring","ACAD03","Shoulder","Northeast","ME"
"64","ACAD","1985","04","Acadia NP",261410,9.25277299224092e-10,-0.380799324607209,"Spring","ACADSpring","ACAD04","Shoulder","Northeast","ME"
"65","ACAD","1985","05","Acadia NP",341775,1.19911935936301e-09,-0.222743505152836,"Spring","ACADSpring","ACAD05","Shoulder","Northeast","ME"
"66","ACAD","1985","06","Acadia NP",432926,7.36450123106636e-10,-0.489786359109357,"Summer","ACADSummer","ACAD06","High","Northeast","ME"
"67","ACAD","1985","07","Acadia NP",725951,4.86222395679192e-10,-0.634212487399096,"Summer","ACADSummer","ACAD07","High","Northeast","ME"
"68","ACAD","1985","08","Acadia NP",816294,3.52247037094244e-10,-0.711540218124957,"Summer","ACADSummer","ACAD08","High","Northeast","ME"
"69","ACAD","1985","09","Acadia NP",451026,4.35634528450635e-10,-0.663410729645749,"Fall","ACADFall","ACAD09","Shoulder","Northeast","ME"
"70","ACAD","1985","10","Acadia NP",373037,4.81743589464401e-10,-0.636797559195945,"Fall","ACADFall","ACAD10","Shoulder","Northeast","ME"
"71","ACAD","1985","11","Acadia NP",206970,4.4424622314132e-10,-0.658440242422067,"Fall","ACADFall","ACAD11","Shoulder","Northeast","ME"
"72","ACAD","1985","12","Acadia NP",35245,2.65739402705023e-10,-0.761470586876607,"Winter","ACADWinter","ACAD12","Low","Northeast","ME"
"73","ACAD","1986","01","Acadia NP",28369,2.85117540688162e-10,-0.750285937313018,"Winter","ACADWinter","ACAD01","Low","Northeast","ME"
"74","ACAD","1986","02","Acadia NP",33055,2.69424815790842e-10,-0.759343444738502,"Winter","ACADWinter","ACAD02","Low","Northeast","ME"
"75","ACAD","1986","03","Acadia NP",47390,6.23510854058651e-10,-0.554972505857236,"Spring","ACADSpring","ACAD03","Shoulder","Northeast","ME"
"76","ACAD","1986","04","Acadia NP",257926,6.84556633601119e-10,-0.519738178796882,"Spring","ACADSpring","ACAD04","Shoulder","Northeast","ME"
"77","ACAD","1986","05","Acadia NP",411604,7.96662291691064e-10,-0.455033174584274,"Spring","ACADSpring","ACAD05","Shoulder","Northeast","ME"
"78","ACAD","1986","06","Acadia NP",486835,7.60471297045484e-10,-0.475921847831452,"Summer","ACADSummer","ACAD06","High","Northeast","ME"
